m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,3.588323875325485e-12,2.0081561577304475e-13,1.1158604748671933e-11
0.3,7.794315211907681e-12,5.416050639413649e-13,2.3500408062340847e-11
0.31622776601683794,9.793013823809572e-12,6.839303428483915e-13,2.950398926866141e-11
0.33166247903553997,1.2347774820215237e-11,8.178400877276093e-13,3.749768121389398e-11
0.34641016151377546,1.5239184509945394e-11,9.586781217759545e-13,4.6626480144480777e-11
0.36055512754639896,1.8633073984487583e-11,1.1264117875974581e-12,5.7333418456211885e-11
0.37416573867739417,2.2628466251282746e-11,1.3198665147871674e-12,6.997361079342276e-11
0.3872983346207417,2.7565494471074788e-11,1.664999460497169e-12,8.482818521741849e-11
0.4,3.349052790881625e-11,2.118899564299164e-12,1.0238518000479713e-10
0.41231056256176607,4.043360309997373e-11,2.6258776834741948e-12,1.2314404162863e-10
0.4242640687119285,4.8534233368132564e-11,3.1899200057200684e-12,1.475561276272776e-10
0.43588989435406733,5.820896030824846e-11,3.966254873794185e-12,1.7602426165756366e-10
0.4472135954999579,6.961562335082092e-11,4.958188118060106e-12,2.091059608768429e-10
0.458257569495584,8.295783275635457e-11,6.18659996722137e-12,2.4739988198153197e-10
0.469041575982343,9.853403230547473e-11,7.722418358791492e-12,2.9151935997871094e-10
0.47958315233127197,1.1631148188000304e-10,9.433924188992424e-12,3.421793640199208e-10
0.4898979485566356,1.3653661864811597e-10,1.1316936584092446e-11,4.002284911544624e-10
0.5,1.5987874464768453e-10,1.3675105262913283e-11,4.661560265331935e-10
0.5099019513592785,1.86825034860035e-10,1.6723830549377425e-11,5.404375580452937e-10
0.5196152422706632,2.1743837887607573e-10,2.0298058904309557e-11,6.243125438546749e-10
0.5291502622129182,2.518835487155863e-10,2.4321987951742005e-11,7.187732254471297e-10
0.5385164807134504,2.904587281481042e-10,2.882691019909384e-11,8.246448248721592e-10
0.5477225575051661,3.3508515790188013e-10,3.502674752813797e-11,9.420186839488766e-10
0.5567764362830022,3.8494470387685146e-10,4.205901187435337e-11,1.0728719130601665e-09
0.565685424949238,4.40434685911058e-10,5.0005110273110157e-11,1.2181246488764662e-09
0.5744562646538028,5.024507447713986e-10,5.92062344606563e-11,1.379102360704602e-09
0.5830951894845301,5.719305558235388e-10,7.01132326276756e-11,1.556837077822783e-09
0.5916079783099616,6.495920641334813e-10,8.305143644219065e-11,1.7523379611334686e-09
0.6,7.361704123393716e-10,9.819476675066094e-11,1.96741869455214e-09
0.6082762530298219,8.324009912233717e-10,1.1574583434711145e-10,2.203757613437148e-09
0.6164414002968976,9.38421518437184e-10,1.3540654100704757e-10,2.4632263555678582e-09
0.6244997998398398,1.0552643091073438e-09,1.574129986385881e-10,2.748195071776245e-09
0.6324555320336759,1.1841949463809634e-09,1.8226214680240912e-10,3.060724787552709e-09
0.6403124237432849,1.3260889674180356e-09,2.1005647523099565e-10,3.403285349808648e-09
0.648074069840786,1.4820286127704366e-09,2.409654214199155e-10,3.778707017124992e-09
0.6557438524302001,1.6536706916309223e-09,2.7569550277608095e-10,4.1895352223819925e-09
0.6633249580710799,1.8430298094380056e-09,3.1543655505151294e-10,4.637679798088024e-09
0.6708203932499369,2.0514234498386073e-09,3.6034423614030127e-10,5.126925089324117e-09
0.6782329983125268,2.2812962472713586e-09,4.115803203324686e-10,5.660815587916956e-09
0.6855654600401044,2.5336262443562605e-09,4.685590877353067e-10,6.244800921718363e-09
0.6928203230275509,2.810543501294995e-09,5.318400358579334e-10,6.883599651219379e-09
0.7,3.114376276719542e-09,6.02039428254766e-10,7.582352096656537e-09
0.7071067811865476,3.4474578120476293e-09,6.797502333601274e-10,8.346300985295625e-09
0.714142842854285,3.8125842770363336e-09,7.657003250933841e-10,9.18165726193113e-09
0.7211102550927979,4.21338850808648e-09,8.608795713915337e-10,1.00963287549473e-08
0.7280109889280518,4.653623869768498e-09,9.662902173782522e-10,1.1098567853727168e-08
0.7348469228349535,5.137370828233008e-09,1.0830160273825302e-09,1.2197369286661832e-08
0.7416198487095663,5.6690836256172305e-09,1.2122336080569817e-09,1.340257463514458e-08
0.7483314773547883,6.2531239481372865e-09,1.3550596417721988e-09,1.4723943694233087e-08
0.754983443527075,6.897973196509664e-09,1.5161715516610058e-09,1.6172216024013804e-08
0.7615773105863908,7.610884911375554e-09,1.6977906280244726e-09,1.776262987411296e-08
0.7681145747868608,8.398081596637598e-09,1.8999200473325193e-09,1.951442000619329e-08
0.7745966692414834,9.267242528152444e-09,2.1247045106304414e-09,2.144423992771405e-08
0.7810249675906654,1.0225925151080515e-08,2.374198328259961e-09,2.35686627632702e-08
0.7874007874011811,1.1286708934674508e-08,2.6520466851091008e-09,2.5914502965940006e-08
0.7937253933193772,1.2464718502401182e-08,2.9626872840580613e-09,2.8513846302268896e-08
0.8,1.3773804896679964e-08,3.3100184020726735e-09,3.13966326417349e-08
0.806225774829855,1.5225884094871984e-08,3.697161381304452e-09,3.4589353060022074e-08
0.812403840463596,1.6845005455353148e-08,4.131217133673433e-09,3.8142900631704706e-08
0.8185352771872451,1.8661945503569512e-08,4.621429302703498e-09,4.212196661794053e-08
0.8246211251235321,2.065930049316117e-08,5.160158561033552e-09,4.649743001465672e-08
0.8306623862918076,2.3027447649139053e-08,5.811246934306939e-09,5.1649113506725504e-08
0.8366600265340756,2.5392315712918867e-08,6.442816448728038e-09,5.684990118469165e-08
