m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,6.784660388158137e-10,5.365075315203881e-10,8.370680930997052e-10
0.3,1.0582598771110522e-09,8.38960923552893e-10,1.3029927453823673e-09
0.31622776601683794,1.3216712485789087e-09,1.0408522614724079e-09,1.635988244203203e-09
0.33166247903553997,1.563493468034139e-09,1.2244139546631016e-09,1.943967213531298e-09
0.34641016151377546,1.7915861959719946e-09,1.3952891234814345e-09,2.2373559463443573e-09
0.36055512754639896,2.0155618509940802e-09,1.5612004703153036e-09,2.527876173889699e-09
0.37416573867739417,2.239122862896757e-09,1.7251435607279862e-09,2.820023586043523e-09
0.3872983346207417,2.4651912862791617e-09,1.889458533808589e-09,3.1173778322017032e-09
0.4,2.6955935396436306e-09,2.055602157616122e-09,3.4221871119677484e-09
0.41231056256176607,2.931535772974823e-09,2.224500885392668e-09,3.735984768063081e-09
0.4242640687119285,3.1732640580103975e-09,2.396331803878933e-09,4.059107107990362e-09
0.43588989435406733,3.4218759936342403e-09,2.571906388832316e-09,4.392990697896573e-09
0.4472135954999579,3.677786189490276e-09,2.751491333617775e-09,4.738236332199022e-09
0.458257569495584,3.941485356440893e-09,2.9354005374139955e-09,5.0955559977841714e-09
0.469041575982343,4.213783084569607e-09,3.124167459041541e-09,5.466098087278422e-09
0.47958315233127197,4.494401550547435e-09,3.3174815217758213e-09,5.849651325918808e-09
0.4898979485566356,4.784557491022862e-09,3.5161670982096066e-09,6.247908770444374e-09
0.5,5.084946154772964e-09,3.720621416433106e-09,6.661941935561445e-09
0.5099019513592785,5.395720984910644e-09,3.93081248480247e-09,7.092157981851305e-09
0.5196152422706632,5.718276514213469e-09,4.147657923117304e-09,7.540536100091298e-09
0.5291502622129182,6.053378900066494e-09,4.371560156201748e-09,8.008308270811266e-09
0.5385164807134504,6.401586634931587e-09,4.602748940926675e-09,8.496464648188073e-09
0.5477225575051661,6.764431479217556e-09,4.842193834647798e-09,9.007235014750346e-09
0.5567764362830022,7.1430226819564815e-09,5.090502820241782e-09,9.542368969494486e-09
0.565685424949238,7.538327426859267e-09,5.348152852780275e-09,1.0103469778692521e-08
0.5744562646538028,7.952056088762035e-09,5.616198232560155e-09,1.0693070702325858e-08
0.5830951894845301,8.385737455679165e-09,5.895505913764225e-09,1.1313544426759556e-08
0.5916079783099616,8.8408810112542e-09,6.186887976284965e-09,1.1967297803006308e-08
0.6,9.319315420615105e-09,6.4914157500961236e-09,1.2657123076917009e-08
0.6082762530298219,9.82293444100868e-09,6.810155654082331e-09,1.338597374023171e-08
0.6164414002968976,1.0353592022115547e-08,7.1440985175851535e-09,1.4156819804331087e-08
0.6244997998398398,1.0913661355314743e-08,7.494626386293786e-09,1.4973298706143764e-08
0.6324555320336759,1.1505633086425661e-08,7.863151585960511e-09,1.583928340788006e-08
0.6403124237432849,1.2132302559604002e-08,8.251248941308767e-09,1.6759135133547557e-08
0.648074069840786,1.2796397635034037e-08,8.660434732879413e-09,1.7737144208007957e-08
0.6557438524302001,1.3500902100772012e-08,9.09236379124723e-09,1.8778009531733903e-08
0.6633249580710799,1.424891726598827e-08,9.54872433439873e-09,1.988666382880221e-08
0.6708203932499369,1.504413810628299e-08,1.0031578033766482e-08,2.1068908590588364e-08
0.6782329983125268,1.5890823418365785e-08,1.0543320078182349e-08,2.233140151942668e-08
0.6855654600401044,1.679359257151438e-08,1.1086520909250733e-08,2.3681405644704975e-08
0.6928203230275509,1.775728171404385e-08,1.1663846872271022e-08,2.5126564803743016e-08
0.7,1.8786904944559186e-08,1.227803800176923e-08,2.6674844406695636e-08
0.7071067811865476,1.988772680023061e-08,1.2931942540465847e-08,2.8334653789693433e-08
0.714142842854285,2.1065974149956053e-08,1.3628967899323175e-08,3.011587897069854e-08
0.7211102550927979,2.2329475212149904e-08,1.4373459585221755e-08,3.203084862754998e-08
0.7280109889280518,2.368638188025966e-08,1.5169878840616514e-08,3.409250287769581e-08
0.7348469228349535,2.5145460424140236e-08,1.6022999234868072e-08,3.631479740059969e-08
0.7416198487095663,2.6716205221094834e-08,1.693797316164888e-08,3.871287765015831e-08
0.7483314773547883,2.8408011485797078e-08,1.7919756782219322e-08,4.13019578287452e-08
0.754983443527075,3.0234076487301035e-08,1.897566269634361e-08,4.410285531213025e-08
0.7615773105863908,3.22091488694783e-08,2.0113843591507426e-08,4.713886545806622e-08
0.7681145747868608,3.434926875540393e-08,2.1343114991768334e-08,5.0435405784450475e-08
0.7745966692414834,3.667034622219955e-08,2.2671847783148667e-08,5.401827646490134e-08
0.7810249675906654,3.91879766143484e-08,2.4108082928359647e-08,5.791304212713575e-08
0.7874007874011811,4.192764354930125e-08,2.5665879332851735e-08,6.216000090023226e-08
0.7937253933193772,4.4919214005510626e-08,2.736171875206114e-08,6.680637304098231e-08
0.8,4.819072900710143e-08,2.9210574439832753e-08,7.189730304482375e-08
0.806225774829855,5.176729953746322e-08,3.122532843974118e-08,7.747408358581417e-08
0.812403840463596,5.5696236322804495e-08,3.343204976652284e-08,8.361157940448771e-08
0.8185352771872451,6.0036452111663e-08,3.5863260259436125e-08,9.040290901805434e-08
0.8246211251235321,6.47687731682424e-08,3.8504208593812824e-08,9.782463764421353e-08
0.8306623862918076,7.021613467437915e-08,4.1543392476159964e-08,1.0637028849308675e-07
0.8366600265340756,7.579112339106711e-08,4.462867126727968e-08,1.151575826589917e-07
