m_phi,width_central,width_lower,width_upper
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.1414213562373095,0.0,0.0,0.0
0.17320508075688773,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.22360679774997896,0.0,0.0,0.0
0.2449489742783178,0.0,0.0,0.0
0.2645751311064591,0.0,0.0,0.0
0.282842712474619,6.838486181601191e-09,6.540584512178771e-09,7.143021825017685e-09
0.3,1.1235977741755733e-08,1.0737731577088773e-08,1.1745522916248866e-08
0.31622776601683794,1.5131275455653397e-08,1.4463428519007887e-08,1.581419523535955e-08
0.33166247903553997,1.9036634147174922e-08,1.8188912152685656e-08,1.9903663468072907e-08
0.34641016151377546,2.3015518946720474e-08,2.19788729045356e-08,2.4076051913894287e-08
0.36055512754639896,2.7125435574294326e-08,2.5887233064243456e-08,2.8392562389593996e-08
0.37416573867739417,3.136813693088387e-08,2.99146711843961e-08,3.2856079880857966e-08
0.3872983346207417,3.574227385195923e-08,3.405892192861199e-08,3.746622802863305e-08
0.4,4.0235753516490795e-08,3.830746657451645e-08,4.2211388287857885e-08
0.41231056256176607,4.4833097597058393e-08,4.264461658465508e-08,4.7076337685250934e-08
0.4242640687119285,4.950606106187398e-08,4.7042577407090275e-08,5.203241188789844e-08
0.43588989435406733,5.423990843649627e-08,5.148643708873526e-08,5.706510164725819e-08
0.4472135954999579,5.9011915970676096e-08,5.5953764993288614e-08,6.215142985830647e-08
0.458257569495584,6.380128873368356e-08,6.042400722125985e-08,6.727040451150014e-08
0.469041575982343,6.859398447730805e-08,6.488306781794671e-08,7.240809164234803e-08
0.47958315233127197,7.336313694849592e-08,6.930488879886168e-08,7.753684692509589e-08
0.4898979485566356,7.810156548604829e-08,7.368192924612678e-08,8.264992011286346e-08
0.5,8.279838473866795e-08,7.800328581085379e-08,8.773650511291651e-08
0.5099019513592785,8.7439054162267e-08,8.225479991578063e-08,9.278172761845174e-08
0.5196152422706632,9.202029404742387e-08,8.64326594294418e-08,9.778292894581685e-08
0.5291502622129182,9.653644881589654e-08,9.053106523849342e-08,1.0273467148042001e-07
0.5385164807134504,1.0098214237273307e-07,9.454462462669909e-08,1.0763166623954249e-07
0.5477225575051661,1.0535727951421116e-07,9.84725469112778e-08,1.1247462316735508e-07
0.5567764362830022,1.0966346423936697e-07,1.0231592162552477e-07,1.1726576090464002e-07
0.565685424949238,1.1390510085871523e-07,1.0607863927212194e-07,1.220100961959964e-07
0.5744562646538028,1.1808120949043116e-07,1.0975895278586303e-07,1.267075525030726e-07
0.5830951894845301,1.22196515596482e-07,1.1336074697125514e-07,1.3136383115509349e-07
0.5916079783099616,1.2626183832449072e-07,1.168938134659202e-07,1.3599091783764264e-07
0.6,1.3027649216227535e-07,1.203566161126737e-07,1.405891435703984e-07
0.6082762530298219,1.3424715124125107e-07,1.2375471321266266e-07,1.4516647305790438e-07
0.6164414002968976,1.381897840760264e-07,1.2710265716454615e-07,1.4974046774695861e-07
0.6244997998398398,1.4210421291098628e-07,1.3039910700795554e-07,1.543123319876001e-07
0.6324555320336759,1.459970541767365e-07,1.3364922403381197e-07,1.588903709219608e-07
0.6403124237432849,1.4988271154726743e-07,1.3686548752627472e-07,1.634911703568456e-07
0.648074069840786,1.5376584333242095e-07,1.4005104764582403e-07,1.681211678510897e-07
0.6557438524302001,1.576525913246032e-07,1.4321036163248062e-07,1.7278848665229937e-07
0.6633249580710799,1.61556688660961e-07,1.4635512942645563e-07,1.7750920441451072e-07
0.6708203932499369,1.6548637105196462e-07,1.4949143645513036e-07,1.8229407109949085e-07
0.6782329983125268,1.6944707190935913e-07,1.5262238646698578e-07,1.871512677104004e-07
0.6855654600401044,1.734506496393198e-07,1.5575706354491906e-07,1.9209588232078366e-07
0.6928203230275509,1.7750735746023773e-07,1.589029348684332e-07,1.9714144412564357e-07
0.7,1.816242781503731e-07,1.6206441065687134e-07,2.0229823151770952e-07
0.7071067811865476,1.8581386588804537e-07,1.6525093951222083e-07,2.0758225980897359e-07
0.714142842854285,1.9008777579446323e-07,1.6847072096974093e-07,2.1300928292605095e-07
0.7211102550927979,1.9445456249107387e-07,1.7172818779173112e-07,2.1859276344361388e-07
0.7280109889280518,1.9892627312028024e-07,1.750309923715363e-07,2.243499864503473e-07
0.7348469228349535,2.035156105213113e-07,1.783872409537347e-07,2.302991650764285e-07
0.7416198487095663,2.0823615355224892e-07,1.818056606320044e-07,2.3645972278184395e-07
0.7483314773547883,2.1310448801186304e-07,1.8529811194997977e-07,2.42853970029777e-07
0.754983443527075,2.1813499403391869e-07,1.8887214553172927e-07,2.495044979688733e-07
0.7615773105863908,2.2334280084948027e-07,1.9253538206690079e-07,2.564355106857536e-07
0.7681145747868608,2.2874413250251244e-07,1.962960394341182e-07,2.636729728983806e-07
0.7745966692414834,2.343611427859495e-07,2.0016875507310872e-07,2.7124824669004046e-07
0.7810249675906654,2.40215912894115e-07,2.0416840902422123e-07,2.7919233913506646e-07
0.7874007874011811,2.463337048712425e-07,2.0830785767172788e-07,2.875455844866622e-07
0.7937253933193772,2.527383329294765e-07,2.125968605977857e-07,2.9634901773900105e-07
0.8,2.594644256035886e-07,2.1705697892960617e-07,3.05653373916165e-07
0.806225774829855,2.665551530999494e-07,2.2171976322997166e-07,3.1551622592512814e-07
0.812403840463596,2.740492562548738e-07,2.2660188191443729e-07,3.260034237611302e-07
0.8185352771872451,2.8198409462100217e-07,2.3171419256274538e-07,3.371851834612979e-07
0.8246211251235321,2.905025391706764e-07,2.3720480503399603e-07,3.4919707108160516e-07
0.8306623862918076,2.9939257041685423e-07,2.427291004745658e-07,3.619948662946187e-07
0.8366600265340756,3.095195571458479e-07,2.493713351003021e-07,3.761598250098277e-07
